node_id,node_type,balance_btc,transaction_count,first_transaction,risk_score
NODE_00006,mixing_service,7.085223217097198,666,2023-09-29,0.8131984131350597
NODE_00015,marketplace,0.7695254009629195,34,2023-11-05,0.8117445221828452
NODE_00016,exchange,1.9205414583138305,501,2023-06-23,0.9284591764304436
NODE_00019,wallet,1.4561089210449047,68,2023-03-07,0.727472712460666
NODE_00020,exchange,0.7527615035963142,193,2023-11-26,0.7963315720737814
NODE_00023,unknown,0.1599104190711878,556,2023-08-21,0.9305147333023324
NODE_00024,unknown,0.2819134848972995,275,2023-12-02,0.718841884564793
NODE_00029,mixing_service,2.802071654967853,602,2023-06-18,0.8026846067816334
NODE_00030,wallet,0.7880286188047494,325,2023-01-17,0.9784965970525434
NODE_00034,marketplace,0.3197988891435208,211,2023-10-25,0.7751212061003665
NODE_00035,wallet,2.183993710793941,915,2023-01-28,0.7166577493266486
NODE_00037,mixing_service,1.2716401069245695,767,2023-06-28,0.7092758081673776
NODE_00039,unknown,0.6122251201660461,423,2023-01-25,0.7689929763255046
NODE_00045,unknown,1.8366542760319151,962,2023-02-27,0.8602007374510209
NODE_00052,unknown,0.4073420008091017,492,2023-07-22,0.8034734787879659
NODE_00053,marketplace,1.1797431403446512,805,2023-06-27,0.966315890414434
NODE_00056,exchange,1.0877460122784155,356,2023-12-31,0.7787438467572625
NODE_00058,unknown,0.1825711495300246,154,2023-02-16,0.8483216715117766
NODE_00059,wallet,2.0747830283446107,759,2023-03-01,0.8840514507225548
NODE_00066,wallet,3.896034827249277,225,2023-11-16,0.8997098566023409
NODE_00067,exchange,0.0301251052205137,29,2023-10-29,0.9723718920375108
NODE_00071,exchange,0.1118377342069634,796,2023-06-19,0.8369309643716168
NODE_00072,exchange,2.771228153768008,965,2023-11-08,0.8706660100215097
NODE_00075,marketplace,1.9700749517198304,215,2023-12-17,0.7398212459223854
NODE_00082,wallet,1.975296396776744,557,2023-02-06,0.8677033337318646
NODE_00086,wallet,0.5652366430376399,101,2023-08-01,0.8876968505709687
NODE_00087,wallet,3.587492760266259,664,2023-09-11,0.8062136958971743
NODE_00088,unknown,1.426592861627965,42,2023-09-24,0.984308516112318
NODE_00090,mixing_service,1.0439135848245622,417,2023-04-25,0.782243618433008
NODE_00098,unknown,2.153269190342826,826,2023-06-27,0.9763548339935794
NODE_00101,unknown,4.004915885296195,179,2023-09-17,0.8784537323536159
NODE_00107,mixing_service,0.9890897390675596,968,2023-09-21,0.8950475457967708
NODE_00109,exchange,1.5524561427019818,5,2023-04-13,0.9216569011563472
NODE_00111,wallet,1.0676469843195444,637,2023-04-15,0.8882149646990388
NODE_00121,mixing_service,0.9876029500960484,332,2023-05-02,0.8496395015581603
NODE_00122,exchange,0.3920397966504245,847,2023-04-25,0.8385283726888856
NODE_00124,unknown,0.1348728822473571,946,2023-06-28,0.7300691328516901
NODE_00126,unknown,0.5664120612196197,864,2023-10-20,0.8685064450880013
NODE_00129,mixing_service,0.2948472878196179,665,2023-03-26,0.800496972707688
NODE_00130,unknown,1.4436586167764542,840,2023-05-06,0.8683583114970748
NODE_00131,mixing_service,0.6357555662744205,296,2023-02-14,0.8405111376170366
NODE_00135,mixing_service,0.0997338004373869,933,2023-02-06,0.9193688712532856
NODE_00137,exchange,1.9089486835357443,991,2023-02-14,0.880208328720947
NODE_00138,unknown,0.0692802072870094,604,2023-04-24,0.9808131387083716
NODE_00140,exchange,1.6358561744998652,359,2023-01-13,0.7764460456252572
NODE_00143,marketplace,0.3648649262247541,471,2023-06-05,0.7051825044737757
NODE_00151,exchange,0.3999921539700178,146,2023-12-31,0.9840620661557322
NODE_00160,marketplace,0.974094921112622,126,2023-09-23,0.7102251366692699
NODE_00161,exchange,3.797375571819922,712,2023-03-02,0.908785135599982
NODE_00164,mixing_service,0.0123628702854986,638,2023-12-29,0.7323193194072654
NODE_00165,mixing_service,2.9178709495295507,150,2023-08-14,0.9071957996608532
NODE_00167,mixing_service,0.4956086315422532,187,2023-12-15,0.9071518237396428
NODE_00168,exchange,0.0455878497376435,229,2023-08-18,0.8255526238520033
NODE_00178,wallet,0.2259424876248518,815,2023-03-20,0.9919161582500337
NODE_00184,exchange,8.74849806793997,749,2023-09-08,0.7327224592684293
NODE_00192,wallet,1.6896078367099947,637,2023-04-23,0.7413842251534625
NODE_00194,marketplace,0.3524740380086203,532,2023-04-22,0.7849592232752184
NODE_00195,wallet,0.3915793863454493,4,2023-06-16,0.8255405756396308
NODE_00197,unknown,1.5157262349945066,854,2023-10-21,0.8308391329553833
